日期,銀行,幣別代碼,現金買入,現金賣出,即期買入,即期賣出
2025-10-02,台灣銀行,CNY,4.221,4.281,4.154,4.326
2025-10-02,永豐銀行,USD,-,30.2700,30.3790,30.0700
2025-10-02,永豐銀行,JPY,-,0.2035,0.2072,0.2005
2025-10-02,永豐銀行,HKD,-,3.8697,3.9239,3.8297
2025-10-02,永豐銀行,EUR,-,35.3631,35.7368,35.0131
2025-10-02,永豐銀行,GBP,-,40.5482,40.9690,-
2025-10-02,永豐銀行,CHF,-,37.8678,38.1485,-
2025-10-02,永豐銀行,AUD,-,19.9021,20.1365,-
2025-10-02,永豐銀行,SGD,-,23.4075,23.6205,-
2025-10-02,永豐銀行,SEK,-,3.1921,3.2522,-
2025-10-02,永豐銀行,CAD,-,21.6133,21.8010,-
2025-10-02,永豐銀行,THB,-,0.9154,0.9544,-
2025-10-02,永豐銀行,ZAR,-,1.7244,1.7881,-
2025-10-02,永豐銀行,NZD,-,17.5581,17.7743,-
2025-10-02,永豐銀行,MOP,-,3.7150,3.8468,-
2025-10-02,永豐銀行,CNY,-,4.2201,4.2796,4.1381
2025-10-02,永豐銀行,CNH,-,4.2201,4.2705,-
2025-10-02,玉山銀行,USD,30.315,30.415,30.065,30.615
2025-10-02,玉山銀行,CNY,4.231,4.281,4.185,4.345
2025-10-02,玉山銀行,HKD,3.868,3.928,3.798,3.958
2025-10-02,玉山銀行,JPY,0.2039,0.2079,0.2029,0.2099
2025-10-02,玉山銀行,EUR,35.490,35.890,35.190,36.190
2025-10-02,玉山銀行,AUD,19.97,20.19,19.66,20.47
2025-10-02,玉山銀行,CAD,21.68,21.86,21.37,22.17
2025-10-02,玉山銀行,GBP,40.755,41.155,40.435,41.435
2025-10-02,玉山銀行,ZAR,1.709,1.809,-,-
2025-10-02,玉山銀行,NZD,17.60,17.84,-,-
2025-10-02,玉山銀行,CHF,38.04,38.30,-,-
2025-10-02,玉山銀行,SEK,3.207,3.267,-,-
2025-10-02,玉山銀行,SGD,23.495,23.655,-,-
2025-10-02,玉山銀行,MXN,1.607,1.687,-,-
2025-10-02,玉山銀行,THB,0.920,0.960,-,-
2025-10-02,國泰世華,USD,30.3400,30.4600,30.3700,30.4300
2025-10-02,國泰世華,EUR,35.4200,35.9200,35.4800,35.8600
2025-10-02,國泰世華,JPY,0.2035,0.2085,0.2045,0.2075
2025-10-02,國泰世華,CNY,4.2150,4.2900,4.2250,4.2800
2025-10-02,國泰世華,HKD,3.8680,3.9380,3.8780,3.9280
2025-10-02,國泰世華,AUD,19.9300,20.1900,19.9600,20.1400
2025-10-02,國泰世華,NZD,17.5700,17.8700,17.5900,17.8500
2025-10-02,國泰世華,ZAR,1.7025,1.8225,1.7075,1.8175
2025-10-02,國泰世華,CAD,21.5800,21.9800,21.6100,21.9500
2025-10-02,國泰世華,GBP,40.6500,41.2700,40.7100,41.1700
2025-10-02,國泰世華,CHF,37.9450,38.4650,37.9750,38.4350
2025-10-02,國泰世華,SEK,3.1830,3.3030,3.1930,3.2930
2025-10-02,國泰世華,SGD,23.4250,23.7250,23.4550,23.6950
2025-10-02,國泰世華,THB,0.9085,0.9685,0.9115,0.9655
2025-10-02,國泰世華,DKK,4.6950,4.8550,4.7050,4.8450
2025-10-02,國泰世華,TRY,0.3660,1.0860,0.3960,1.0560
2025-10-02,台新銀行,USD,-,30.2790,30.4390,30.1070
2025-10-02,台新銀行,JPY,-,0.2037,0.2072,0.2017
2025-10-02,台新銀行,CNY,-,4.2306,4.2766,4.1616
2025-10-02,台新銀行,EUR,-,35.4790,35.8290,35.1560
2025-10-02,台新銀行,HKD,-,3.8768,3.9268,3.8318
2025-10-02,台新銀行,AUD,-,19.9410,20.1610,19.6690
2025-10-02,台新銀行,CAD,-,21.6420,21.8820,21.3520
2025-10-02,台新銀行,NZD,-,17.5830,17.8230,17.3880
2025-10-02,台新銀行,SGD,-,23.4300,23.6900,23.1300
2025-10-02,台新銀行,CHF,-,37.9810,38.3610,-
2025-10-02,台新銀行,GBP,-,40.7120,41.1520,-
2025-10-02,台新銀行,SEK,-,3.2053,3.2653,-
2025-10-02,台新銀行,ZAR,-,1.7214,1.8014,-
2025-10-02,台新銀行,THB,-,0.9206,0.9566,-
2025-10-03,台北富邦,USD,30.3050,30.4650,30.0450,30.6850
2025-10-03,台北富邦,CNY,4.2260,4.2860,4.0910,4.3210
2025-10-03,台北富邦,JPY,0.2034,0.2084,0.2007,0.2111
2025-10-03,台北富邦,EUR,35.4410,35.9610,35.0762,36.3322
2025-10-03,台北富邦,HKD,3.8664,3.9444,3.8004,3.9844
2025-10-03,台北富邦,AUD,19.9075,20.2875,19.6475,20.5475
2025-10-03,台北富邦,ZAR,1.7048,1.8248,-,-
2025-10-03,台北富邦,CAD,21.5813,21.9813,21.2765,22.2875
2025-10-03,台北富邦,GBP,40.6569,41.2869,-,-
2025-10-03,台北富邦,SGD,23.4038,23.7838,-,-
2025-10-03,台北富邦,CHF,37.9838,38.5038,-,-
2025-10-03,台北富邦,NZD,17.5528,17.9328,-,-
2025-10-03,台北富邦,SEK,3.1899,3.3099,-,-
2025-10-03,台北富邦,THB,0.9098,0.9698,-,-
2025-10-03,元大銀行,USD,30.3450,30.4810,30.0950,30.7090
2025-10-03,元大銀行,CNY,4.2365,4.2865,4.1365,4.3225
2025-10-03,元大銀行,JPY,0.2047,0.2079,0.2006,0.2102
2025-10-03,元大銀行,EUR,35.5325,35.8525,35.1325,36.2425
2025-10-03,元大銀行,HKD,3.8820,3.9340,3.8130,3.9690
2025-10-03,元大銀行,AUD,19.9860,20.1860,-,-
2025-10-03,元大銀行,NZD,17.6380,17.8380,-,-
2025-10-03,元大銀行,ZAR,1.7071,1.8371,-,-
2025-10-03,元大銀行,CAD,21.6750,21.8750,-,-
2025-10-03,元大銀行,GBP,40.7050,41.1050,-,-
2025-10-03,元大銀行,SGD,23.5075,23.6675,-,-
2025-10-03,元大銀行,CHF,38.0975,38.3175,-,-
2025-10-03,元大銀行,SEK,3.1990,3.2790,-,-
2025-10-03,元大銀行,THB,0.9130,0.9630,-,-
2025-10-03,台灣銀行,USD,30.275,30.425,29.955,30.635
2025-10-03,台灣銀行,HKD,3.864,3.934,3.743,3.947
2025-10-03,台灣銀行,GBP,40.625,41.255,39.74,41.84
2025-10-03,台灣銀行,AUD,19.870,20.215,19.655,20.435
2025-10-03,台灣銀行,CAD,21.600,21.930,21.270,22.175
2025-10-03,台灣銀行,SGD,23.441,23.661,22.971,23.881
2025-10-03,台灣銀行,CHF,37.97,38.36,37.35,38.55
2025-10-03,台灣銀行,JPY,0.2030,0.2080,0.1961,0.2091
2025-10-03,台灣銀行,ZAR,1.716,1.806,-,-
2025-10-03,台灣銀行,SEK,3.179,3.299,-,-
2025-10-03,台灣銀行,NZD,17.552,17.852,17.222,18.072
2025-10-03,台灣銀行,THB,0.9203,0.9663,0.8099,0.9999
2025-10-03,台灣銀行,PHP,-,-,0.4567,0.5887
2025-10-03,台灣銀行,IDR,-,-,0.00147,0.00217
2025-10-03,台灣銀行,EUR,35.36,35.96,34.85,36.18
2025-10-03,台灣銀行,KRW,-,-,0.01978,0.02368
2025-10-03,台灣銀行,VND,-,-,0.000905,0.001315
2025-10-03,台灣銀行,MYR,-,-,6.181,7.706
2025-10-03,台灣銀行,CNY,4.222,4.282,4.155,4.326
2025-10-03,永豐銀行,USD,-,30.2750,30.3840,30.0750
2025-10-03,永豐銀行,JPY,-,0.2036,0.2073,0.2006
2025-10-03,永豐銀行,HKD,-,3.8699,3.9241,3.8299
2025-10-03,永豐銀行,EUR,-,35.3731,35.7468,35.0231
2025-10-03,永豐銀行,GBP,-,40.5582,40.9790,-
2025-10-03,永豐銀行,CHF,-,37.8778,38.1585,-
2025-10-03,永豐銀行,AUD,-,19.9021,20.1365,-
2025-10-03,永豐銀行,SGD,-,23.4025,23.6155,-
2025-10-03,永豐銀行,SEK,-,3.1941,3.2542,-
2025-10-03,永豐銀行,CAD,-,21.6083,21.7960,-
2025-10-03,永豐銀行,THB,-,0.9149,0.9539,-
2025-10-03,永豐銀行,ZAR,-,1.7249,1.7886,-
2025-10-03,永豐銀行,NZD,-,17.5541,17.7703,-
